kanji	kanji_meaning	kanji_readings	kanji_strokes	component	component_meaning
一	one	イチ、イツ、ひと、ひとつ	1.0	一	one
丁	ward	チョウ、テイ	2.0	一	one
丁	ward	チョウ、テイ	2.0	亅	hook
七	seven	シチ、なな、ななつ、なの	2.0	乙	second
七	seven	シチ、なな、ななつ、なの	2.0	匕	spoon
七	seven	シチ、なな、ななつ、なの	2.0	ノ	
万	ten thousand	マン、バン	3.0	｜	
万	ten thousand	マン、バン	3.0	ノ	
万	ten thousand	マン、バン	3.0	一	one
丈	length	ジョウ、たけ	3.0	ノ	
丈	length	ジョウ、たけ	3.0	一	one
丈	length	ジョウ、たけ	3.0	丶	dot
三	three	サン、み、みつ、みっつ	3.0	一	one
三	three	サン、み、みつ、みっつ	3.0	二	two
上	up	ジョウ、ショウ、うえ、うわ、かみ、あげる、あがる、のぼる、のぼせる、のぼす	3.0	一	one
上	up	ジョウ、ショウ、うえ、うわ、かみ、あげる、あがる、のぼる、のぼせる、のぼす	3.0	卜	divination
下	below	カ、ゲ、した、しも、もと、さげる、さがる、くだる、くだす、くださる、おろす、おりる	3.0	｜	
下	below	カ、ゲ、した、しも、もと、さげる、さがる、くだる、くだす、くださる、おろす、おりる	3.0	一	one
下	below	カ、ゲ、した、しも、もと、さげる、さがる、くだる、くだす、くださる、おろす、おりる	3.0	卜	divination
不	non-	フ、ブ	4.0	｜	
不	non-	フ、ブ	4.0	ノ	
不	non-	フ、ブ	4.0	一	one
不	non-	フ、ブ	4.0	丶	dot
与	give	ヨ、あたえる	3.0	勹	wrap
与	give	ヨ、あたえる	3.0	一	one
与	give	ヨ、あたえる	3.0	卜	divination
且	moreover	かつ	5.0	一	one
且	moreover	かつ	5.0	目	eye
世	world	セイ、セ、よ	5.0	｜	
世	world	セイ、セ、よ	5.0	一	one
世	world	セイ、セ、よ	5.0	世	world
丘	hill	キュウ、おか	5.0	一	one
丘	hill	キュウ、おか	5.0	斤	axe
丙	third class	ヘイ	5.0	一	one
丙	third class	ヘイ	5.0	人	man
丙	third class	ヘイ	5.0	冂	wide
両	both	リョウ	6.0	｜	
両	both	リョウ	6.0	一	one
両	both	リョウ	6.0	冂	wide
両	both	リョウ	6.0	山	mountain
並	line-up	ヘイ、なみ、ならべる、ならぶ、ならびに	8.0	｜	
並	line-up	ヘイ、なみ、ならべる、ならぶ、ならびに	8.0	一	one
並	line-up	ヘイ、なみ、ならべる、ならぶ、ならびに	8.0	二	two
並	line-up	ヘイ、なみ、ならべる、ならぶ、ならびに	8.0	并	
中	middle	チュウ、ジュウ、なか	4.0	｜	
中	middle	チュウ、ジュウ、なか	4.0	口	mouth
串	skewer	くし	7.0	｜	
串	skewer	くし	7.0	口	mouth
丸	circle	ガン、まる、まるい、まるめる	3.0	九	nine
丸	circle	ガン、まる、まるい、まるめる	3.0	丶	dot
丹	cinnabar	タン	4.0	ノ	
丹	cinnabar	タン	4.0	一	one
丹	cinnabar	タン	4.0	丶	dot
丹	cinnabar	タン	4.0	亅	hook
主	master	シュ、ス、ぬし、おも	5.0	王	jade
主	master	シュ、ス、ぬし、おも	5.0	丶	dot
丼	bowl of food	どんぶり、どん	5.0	｜	
丼	bowl of food	どんぶり、どん	5.0	ノ	
丼	bowl of food	どんぶり、どん	5.0	二	two
丼	bowl of food	どんぶり、どん	5.0	丶	dot
丼	bowl of food	どんぶり、どん	5.0	廾	arch
丼	bowl of food	どんぶり、どん	5.0	井	well
久	long time	キュウ、ク、ひさしい	3.0	ノ	
久	long time	キュウ、ク、ひさしい	3.0	入	enter
久	long time	キュウ、ク、ひさしい	3.0	久	long time
乏	scarce	ボウ、とぼしい	4.0	ノ	
乏	scarce	ボウ、とぼしい	4.0	乙	second
乏	scarce	ボウ、とぼしい	4.0	丶	dot
乏	scarce	ボウ、とぼしい	4.0	亠	lid
乗	ride	ジョウ、のる、のせる	9.0	｜	
乗	ride	ジョウ、のる、のせる	9.0	ノ	
乗	ride	ジョウ、のる、のせる	9.0	一	one
乗	ride	ジョウ、のる、のせる	9.0	禾	grain
乗	ride	ジョウ、のる、のせる	9.0	ハ	
乙	the latter	オツ	1.0	乙	second
九	nine	キュウ、ク、ここの、ここのつ	2.0	九	nine
乞	beg	こう	3.0	ノ	
乞	beg	こう	3.0	一	one
乞	beg	こう	3.0	乙	second
乱	riot	ラン、みだれる、みだす	7.0	乙	second
乱	riot	ラン、みだれる、みだす	7.0	口	mouth
乱	riot	ラン、みだれる、みだす	7.0	舌	tongue
乳	milk	ニュウ、ちち、ち	8.0	乙	second
乳	milk	ニュウ、ちち、ち	8.0	子	child
乳	milk	ニュウ、ちち、ち	8.0	爪	claw
乾	dry	カン、かわく、かわかす	11.0	乙	second
乾	dry	カン、かわく、かわかす	11.0	十	ten
乾	dry	カン、かわく、かわかす	11.0	日	sun
亀	turtle	キ、かめ	11.0	亀	turtle
亀	turtle	キ、かめ	11.0	田	field
亀	turtle	キ、かめ	11.0	勹	wrap
亀	turtle	キ、かめ	11.0	乙	second
了	finish	リョウ	2.0	一	one
了	finish	リョウ	2.0	亅	hook
予	in advance	ヨ	4.0	マ	
予	in advance	ヨ	4.0	一	one
予	in advance	ヨ	4.0	亅	hook
争	conflict	ソウ、あらそう	6.0	ヨ	
争	conflict	ソウ、あらそう	6.0	一	one
争	conflict	ソウ、あらそう	6.0	亅	hook
争	conflict	ソウ、あらそう	6.0	勹	wrap
事	abstract thing	ジ、ズ、こと	8.0	一	one
事	abstract thing	ジ、ズ、こと	8.0	口	mouth
事	abstract thing	ジ、ズ、こと	8.0	亅	hook
事	abstract thing	ジ、ズ、こと	8.0	ヨ	
二	two	ニ、ふた、ふたつ	2.0	二	two
互	mutually	ゴ、たがい	4.0	ヨ	
互	mutually	ゴ、たがい	4.0	一	one
互	mutually	ゴ、たがい	4.0	彑	snout
五	five	ゴ、いつ、いつつ	4.0	一	one
五	five	ゴ、いつ、いつつ	4.0	二	two
五	five	ゴ、いつ、いつつ	4.0	五	five
井	well	セイ、ショウ、い	4.0	｜	
井	well	セイ、ショウ、い	4.0	ノ	
井	well	セイ、ショウ、い	4.0	一	one
井	well	セイ、ショウ、い	4.0	二	two
井	well	セイ、ショウ、い	4.0	井	well
亜	sub-, Asia	ア	7.0	｜	
亜	sub-, Asia	ア	7.0	一	one
亜	sub-, Asia	ア	7.0	口	mouth
亡	deceased	ボウ、モウ、ない	3.0	亡	deceased
亡	deceased	ボウ、モウ、ない	3.0	亠	lid
交	mix	コウ、まじわる、まじえる、まじる、まざる、まぜる、かう、かわす	6.0	父	father
交	mix	コウ、まじわる、まじえる、まじる、まざる、まぜる、かう、かわす	6.0	亠	lid
享	receive	キョウ	8.0	口	mouth
享	receive	キョウ	8.0	子	child
享	receive	キョウ	8.0	亠	lid
京	capital	キョウ、ケイ	8.0	口	mouth
京	capital	キョウ、ケイ	8.0	小	small
京	capital	キョウ、ケイ	8.0	亠	lid
亭	pavilion	テイ	9.0	口	mouth
亭	pavilion	テイ	9.0	亅	hook
亭	pavilion	テイ	9.0	亠	lid
亭	pavilion	テイ	9.0	冖	cloth cover
人	person	ジン、ニン、ひと	2.0	人	man
仁	humanity	ジン、ニ	4.0	⺅	
仁	humanity	ジン、ニ	4.0	二	two
今	now	コン、キン、いま	4.0	𠆢	
今	now	コン、キン、いま	4.0	一	one
介	jammed in	カイ	4.0	ハ	
介	jammed in	カイ	4.0	𠆢	
仏	Buddha	ブツ、ほとけ	4.0	⺅	
仏	Buddha	ブツ、ほとけ	4.0	厶	private
仕	do	シ、ジ、つかえる	5.0	⺅	
仕	do	シ、ジ、つかえる	5.0	士	scholar
他	other	タ、ほか	5.0	⺅	
他	other	タ、ほか	5.0	也	
付	attach	フ、つける、つく	5.0	⺅	
付	attach	フ、つける、つく	5.0	寸	inch
仙	hermit	セン	5.0	⺅	
仙	hermit	セン	5.0	山	mountain
代	substitute	ダイ、タイ、かわる、かえる、よ、しろ	5.0	⺅	
代	substitute	ダイ、タイ、かわる、かえる、よ、しろ	5.0	弋	shoot
令	orders	レイ	5.0	𠆢	
令	orders	レイ	5.0	卩	seal (device)
令	orders	レイ	5.0	一	one
以	by means of	イ	5.0	｜	
以	by means of	イ	5.0	人	man
以	by means of	イ	5.0	丶	dot
仮	temporary	カ、ケ、かり	6.0	⺅	
仮	temporary	カ、ケ、かり	6.0	又	again
仮	temporary	カ、ケ、かり	6.0	厂	cliff
仰	face-up	ギョウ、コウ、あおぐ、おおせ	6.0	⺅	
仰	face-up	ギョウ、コウ、あおぐ、おおせ	6.0	卩	seal (device)
仲	relationship	チュウ、なか	6.0	｜	
仲	relationship	チュウ、なか	6.0	⺅	
仲	relationship	チュウ、なか	6.0	口	mouth
件	affair	ケン	6.0	⺅	
件	affair	ケン	6.0	牛	cow
任	responsibility	ニン、まかせる、まかす	6.0	ノ	
任	responsibility	ニン、まかせる、まかす	6.0	王	jade
任	responsibility	ニン、まかせる、まかす	6.0	⺅	
任	responsibility	ニン、まかせる、まかす	6.0	士	scholar
企	plan	キ、くわだてる	6.0	止	stop
企	plan	キ、くわだてる	6.0	𠆢	
伎	deed	キ	6.0	⺅	
伎	deed	キ	6.0	支	branch
伎	deed	キ	6.0	又	again
伎	deed	キ	6.0	十	ten
伏	prostrated	フク、ふせる、ふす	6.0	⺅	
伏	prostrated	フク、ふせる、ふす	6.0	犬	dog
伐	fell	バツ	6.0	⺅	
伐	fell	バツ	6.0	戈	halberd
休	rest	キュウ、やすむ、やすまる、やすめる	6.0	⺅	
休	rest	キュウ、やすむ、やすまる、やすめる	6.0	木	tree
会	association	カイ、エ、あう	6.0	二	two
会	association	カイ、エ、あう	6.0	𠆢	
会	association	カイ、エ、あう	6.0	厶	private
伝	transmit	デン、つたわる、つたえる、つたう	6.0	⺅	
伝	transmit	デン、つたわる、つたえる、つたう	6.0	二	two
伝	transmit	デン、つたわる、つたえる、つたう	6.0	厶	private
伯	chief	ハク	7.0	⺅	
伯	chief	ハク	7.0	白	white
伴	consort	ハン、バン、ともなう	7.0	｜	
伴	consort	ハン、バン、ともなう	7.0	⺅	
伴	consort	ハン、バン、ともなう	7.0	二	two
伴	consort	ハン、バン、ともなう	7.0	并	
伴	consort	ハン、バン、ともなう	7.0	十	ten
伸	lengthen	シン、のびる、のばす、のべる	7.0	｜	
伸	lengthen	シン、のびる、のばす、のべる	7.0	⺅	
伸	lengthen	シン、のびる、のばす、のべる	7.0	日	sun
伸	lengthen	シン、のびる、のばす、のべる	7.0	田	field
伺	pay respects	シ、うかがう	7.0	⺅	
伺	pay respects	シ、うかがう	7.0	口	mouth
伺	pay respects	シ、うかがう	7.0	亅	hook
伺	pay respects	シ、うかがう	7.0	一	one
似	becoming	ジ、にる	7.0	⺅	
似	becoming	ジ、にる	7.0	人	man
似	becoming	ジ、にる	7.0	丶	dot
但	however	ただし	7.0	一	one
但	however	ただし	7.0	⺅	
但	however	ただし	7.0	日	sun
位	rank	イ、くらい	7.0	⺅	
位	rank	イ、くらい	7.0	立	stand
低	low	テイ、ひくい、ひくめる、ひくまる	7.0	⺅	
低	low	テイ、ひくい、ひくめる、ひくまる	7.0	氏	clan
住	dwelling	ジュウ、すむ、すまう	7.0	王	jade
住	dwelling	ジュウ、すむ、すまう	7.0	⺅	
住	dwelling	ジュウ、すむ、すまう	7.0	丶	dot
佐	help	サ	7.0	ノ	
